c/n;f/f;testreg;regi;operator;d/d;type;St
475;17.02.03;F-WWCQ;B-HQC;Cathay Pacific AW lsd;27.06.03;340-642;
;;;B-6510;Hainan AL lsd;22.10.08;;
;;;N371LF;BOU;23.05.14;;SCR
476;30.04.02;F-WWKT;D-ALPF;LTU Int'l AW lsd;29.05.02;330-223;
;;;;Air Berlin tfd;8;;
;;;G-VWND;Virgin Atlantic AW lsd;23.03.18;;STD
477;29.04.02;F-WWKS;PT-MVH;TAM lsd;29.07.02;330-203;
;;;CS-TOQ;TAP Air Portugal;10.08.14;;
;;N243GE;;;;;STD
478;03.10.03;F-WWTG;9V-SGC;Singapore AL;19.12.03;340-541;
;;;F-WJKJ;;;;SCR
479;28.05.02;F-WWKU;B-HYI;Dragonair;26.06.02;330-343E;
;;;;Cathay Dragon nn;22.11.16;;STD
480;27.05.02;F-WWKV;C-GPTS;Air Transat lsd;14.06.02;330-243;
;;;;Star AL slsd;30.10.03;;
;;;;Air Transat ret;15.05.04;;
;;;;XL AW slsd;26.12.09;;
;;;;Garuda Indonesian AW lsd;11.10.10;;
;;;;Air Transat ret;20.12.10;;
;;;;Garuda Indonesian AW lsd;27.09.11;;
;;;;Air Transat ret;09.12.11;;
;;;;Garuda Indonesian AW slsd;17.09.12;;
;;;;Air Transat ret;29.11.12;;
;;;;Garuda Indonesian AW slsd;06.09.13;;
;;;;Air Transat ret;20.11.13;;C
481;06.06.02;;F-GZCF;Air France lsd;28.06.02;330-203;C
482;08.08.03;F-WWCS;D-AIHA;Lufthansa lsd;23.12.03;340-642;SCR
483;23.11.02;F-WWJI;EC-IIH;Iberia lsd;06.12.02;340-313X;
;;;F-WDTF;Azur Aviation;25.11.15;;
;;;T7-MAN;Azur Aviation rr;s05.05.16;;
;;;9H-SOL;Hi Fly Malta;26.02.18;;C
484;02.07.02;F-WWKD;HL7709;Korean Air;08.08.02;330-323X;C
485;12.09.03;F-WWTL;A6-ERC;Emirates AL;29.11.03;340-541;
;;;F-WHUH;Airbus Financial Svc;08.12.14;;SCR
486;05.06.02;F-WWYL;PT-MVK;TAM lsd;29.07.02;330-203;
;;;CS-TOR;TAP Air Portugal;24.04.14;;
;;N244GE;;;;;STD
487;25.06.02;F-WWYM;A7-HJJ;Qatar AW;27.08.02;330-203;C
488;04.06.03;F-WWCT;B-6051;China Eastern AL;30.06.03;340-642;
;;D-AAAV;;;;;SCR
489;;F-WWYN;A7-ACB;Qatar AW;01.08.02;330-203;
;;;EI-GGN;Air Italy tfd;r27.09.18;;
;;;9H-PTN;Luke Air;07.03.20;;C
490;18.07.02;F-WWKF;HL7710;Korean Air;04.10.02;330-323X;C
491;;F-WWYO;A6-EAM;Emirates AL;19.09.02;330-243;
;;OE-IEQ;TC-OCM;Onur Air;15.12.17;;STD
492;11.11.03;F-WWTP;9V-SGA;Singapore AL;31.12.03;340-541;
;;F-WJKK;;Airbus Financial Svc;10.01.14;;SCR
493;05.07.02;F-WWKI;D-ALPG;LTU Int'l AW lsd;06.09.02;330-223;
;;;;Air Berlin tfd;19.03.09;;
;;EI-GFG;F-HTAC;Aigle Azur lsd;21.04.18;;
;;;F-HUNO;Air Caraibes Atlantique lsd;10.12.19;;C
494;22.07.02;F-WWKJ;A6-EAN;Emirates AL;13.09.02;330-243;
;;;EI-EYO;CAF;17.10.12;;
;;;PR-AIU;Azul Linhas Aereas;26.09.15;;C
495;11.06.03;F-WWTQ;A7-HHH;Qatar Gvmt;15.09.03;340-541;C
496;20.09.02;F-WWKK;OY-KBN;SAS lsd;16.10.02;330-343E;
;;;LN-RKM;SAS rr;16.10.12;;C
497;03.09.02;F-WWYP;LN-RKH;SAS lsd;01.10.02;330-343E;
;;;YR-;Dan Air lsd;21.02.22;;C
498;19.10.02;F-WWKI;F-GZCG;Air France;20.12.02;330-203;C
499;15.11.03;F-WWTR;9V-SGB;Singapore AL;12.01.04;340-541;
;;F-WJKL;;Airbus Financial Svc;;;SCR
500;11.09.02;;F-GZCH;Air France lsd;18.10.02;330-203;C
501;25.10.02;F-WWKG;F-GRSQ;Star AL lsd;25.11.02;330-243;
;;;;XL AW nn;23.11.06;;
;;;;Garuda Indonesian AW slsd;06.09.13;;
;;;;XL AW ret;19.11.13;;
;;;;Garuda Indonesian AW slsd;02.09.14;;
;;;;XL AW ret;04.11.14;;
;;;TC-OCV;Onur Air;01.04.20;;STD
502;24.09.02;F-WWKJ;F-GZCI;Air France lsd;20.12.02;330-203;C
503;08.10.02;;F-GZCJ;Air France lsd;22.11.02;330-203;C
504;06.11.02;F-WWKL;I-VLEH;Volare AL lsd;19.11.02;330-203;
;;;EI-DDV;GTS rr;23.01.04;;
;;;A7-AFO;Qatar AW lsd;14.03.04;*202;
;;;TC-JNG;THY Turkish AL lsd;15.05.09;*203;
;;;D-AXGG;Eurowings-SunExpress Germany;25.10.17;;C
505;21.10.02;F-WWKO;5B-DBS;Cyprus AW lsd;10.12.02;330-243;
;;;EC-LQO;Air Europa lsd;24.04.12;;
;;;9S-PSJ;flyCAA;14.01.21;;
;;;9S-ASJ;flyCAA rr;s25.02.21;;C
506;07.02.03;F-WWYU;VH-EBC;Qantas;12.03.03;330-201;
;;;;Jetstar AW lsd;21.12.06;*202;
;;;;Qantas ret;21.07.14;;C
507;23.11.02;F-WWYS;F-OHSD;Air Caledonie Int'l;10.12.02;330-202;
;;;2-FOHS;GA Telesis ret;21.10.19;;SCR
508;11.10.02;F-WWKM;VH-EBA;Qantas;05.12.02;330-201;
;;;;Jetstar AW lsd;15.02.07;*202;
;;;;Qantas ret;24.08.14;;C
509;16.12.02;F-WWYX;A6-EAO;Emirates AL;07.03.03;330-243;
;;OE-IEK;TC-OCN;Onur Air;01.12.17;;
;;VP-CBB;;;;;STD
510;23.11.02;F-WWYT;F-OJSE;Air Caledonie Int'l;13.12.02;330-202;
;;2-OJSE;;;;;STD
511;17.01.03;F-WWKR;A7-ACC;Qatar AW;07.02.03;330-203;
;;;EI-GGO;Air Italy tfd;05.09.18;;
;;;A7-ACC;Qatar AW ret;r28.07.20;;
;;;EI-GGO;WTCT;r23.09.20;;STD
512;26.11.02;F-WWYR;B-HYJ;Dragonair;16.12.02;330-343E;
;;;;Cathay Dragon nn;22.11.16;;STD
513;07.02.03;F-WWYV;VH-EBD;Qantas;18.04.03;330-201;
;;;;Jetstar AW lsd;01.11.06;;
;;;;Qantas ret;04.09.14;;C
514;09.09.03;F-WWCU;B-6052;China Eastern AL;24.10.03;340-642;
;;D-AAAZ;;Lufthansa Technik;04.15;;STD
515;16.01.03;F-WWYY;SE-REE;SAS lsd;20.02.03;330-343E;
;;;LN-RKO;SAS rr;11.01.13;;C
516;03.02.03;;F-GZCK;Air France lsd;04.03.03;330-203;C
517;10.10.03;F-WWCR;D-AIHB;Lufthansa;25.11.03;340-642;STD
518;;F-WWKT;A6-EAQ;Emirates AL;29.04.03;330-243;
;;F-WTAY;C-GUBC;Air Transat;r13.07.17;;C
519;17.02.03;;F-GZCL;Air France lsd;24.03.03;330-203;C
520;29.10.03;F-WWTS;A6-ERD;Emirates AL;03.12.03;340-541;
;;F-WHUJ;2-RBLC;Global AW;r07.11.18;;STD
521;10.03.03;F-WWKU;A7-ACD;Qatar AW;31.03.03;330-203;
;;;EI-GGP;Air Italy tfd;02.06.18;;
;;;A7-ACR;Qatar AW ret;s16.10.20;;STD
522;26.11.02;F-WWYQ;VH-EBB;Qantas;23.12.02;330-201;
;;;;Jetstar AW lsd;29.10.06;;
;;;;Qantas ret;26.05.14;;C
523;23.10.03;F-WWCV;D-AIHC;Lufthansa lsd;08.12.03;340-642;STD
524;09.01.03;F-WWYZ;N801NW;Northwest AL;28.08.03;330-323X;
;;;;Delta AL;29.10.08;;C
525;28.02.03;F-WWKV;A6-EAP;Emirates AL;02.04.03;330-243;
;;OE-IER;TC-OCO;Onur Air;27.07.18;;STD
526;21.03.03;F-WWKY;5B-DBT;Cyprus AW lsd;10.04.03;330-243;
;;;EC-LQP;Air Europa lsd;11.04.12;;STD
527;04.04.03;F-WWKZ;F-OMEA;MEA-Middle East AL lsd;30.04.03;330-243;
;;;A9C-KG;Gulf Air lsd;23.04.09;;
;;EI-FEL;PR-AIZ;Azul Linhas Aereas lsd;01.07.14;;C
528;08.04.03;F-WWJC;9V-SJP;Singapore AL;29.04.03;340-313X;
;;D-ASIH;B-18851;China AL lsd;22.10.03;;
;;;;Mandarin AL tfd;21.03.06;;
;;;A7-AAH;Qatar AW;00.08.07;;C
529;27.03.03;F-WWYB;F-OMEB;MEA-Middle East AL lsd;20.05.03;330-243;
;;;A9C-KH;Gulf Air lsd;02.06.09;;
;;;TC-JNV;THY Turkish AL;19.11.13;;
;;2-CJNV;PR-AIT;Azul L.A. lsd;17.06.15;;C
530;04.06.03;F-WWYA;B-16301;EVA Air lsd;26.06.03;330-203;
;;;D-AXGA;Eurowings-SunExpress Germany;07.10.15;;C
531;13.10.03;F-WWCX;ZS-SND;South African AW;07.11.03;340-642;C
532;10.04.03;F-WWYC;F-OMEC;MEA-Middle East AL lsd;11.06.03;330-243;
;;;A9C-KI;Gulf Air lsd;20.05.09;;
;;EI-FFR;PR-AIV;Azul Linhas Aereas lsd;13.08.14;;C
533;06.06.03;F-WWYD;N802NW;Northwest AL;08.07.03;330-323X;C
;;;;Delta AL;29.10.08;;
534;31.10.03;F-WWCY;ZS-SNE;South African AW lsd;18.11.03;340-642;STD
535;12.05.03;F-WWYE;B-16302;EVA Air lsd;04.07.03;330-203;
;;OE-IEA;VP-BDV;VIM AL;23.12.16;;
;;OE-IFW;;Aer Lingus lsd ntu;13.04.18;;STD
536;28.04.03;F-WWYF;A6-EAR;Emirates AL;24.06.03;330-243;
;;F-WTBF;C-GUBD;Air Transat;r12.05.17;;C
537;26.11.03;F-WWCZ;D-AIHD;Lufthansa lsd;16.12.03;340-642;STD
538;11.06.03;F-WWJJ;HB-JMA;Swiss Int'l AL lsd;30.06.03;340-313X;C
539;07.07.03;F-WWYG;B-HLU;Cathay Pacific AW;08.09.03;330-343E;C
540;18.11.03;F-WWCF;D-AIHE;Lufthansa;16.01.04;340-642;STD
541;28.05.03;F-WWJK;B-18807;China AL;11.07.03;340-313X;SCR
542;29.08.03;F-WWYH;N803NW;Northwest AL;16.09.03;330-323X;
;;;;Delta AL;29.10.08;;C
543;13.01.04;F-WWCE;D-AIHF;Lufthansa;06.02.04;340-642;STD
544;18.09.03;F-WWJS;ZS-SXA;South African AW;08.03.04;340-313E;
;;;9H-ACX;Airbus Financial Svc;r27.12.20;;STD
545;03.07.03;F-WWJL;HB-JMB;Swiss Int'l AL;26.09.03;340-313X;C
546;22.07.03;F-WWJM;HB-JMC;Swiss Int'l AL;06.10.03;340-313X;C
547;03.12.03;F-WWCI;ZS-SNF;South African AW;28.01.04;340-642;C
548;08.09.03;F-WWYI;B-HLV;Cathay Pacific AW;26.09.03;330-343E;C
549;09.09.03;F-WWYJ;N804NW;Northwest AL;26.09.03;330-323X;
;;;;Delta AL;29.10.08;;C
550;07.08.03;F-WWKP;HL7720;Korean AL;15.10.03;330-323X;C
551;12.11.03;F-WWKE;I-LIVM;Livingston AL lsd;26.11.03;330-243;
;;;EI-EON;Livingston AL rr;28.09.10;;
;;;EC-LNH;Air Europa lsd;29.06.11;;
;;;;Wamos lsd;01.06.17;;
;;OE-IBG;;;;;STD
552;09.10.03;F-WWKQ;N805NW;Northwest AL;31.10.03;330-323X;
;;;;Delta AL;29.10.08;;C
553;05.11.03;F-WWKS;VH-QPA;Qantas;26.11.03;330-301;C
554;30.09.03;F-WWJO;9V-SJQ;Singapore AL;31.10.03;340-313X;
;;;A4O-LI;Gulf Air lsd;03.12.03;;
;;;A9C-LI;Gulf Air rr;13.11.07;;SCR
555;12.06.03;F-WWYL;B-16303;EVA AW lsd;04.02.04;330-203;
;;;D-AXGC;Eurowings-SunExpress Germany lsd;18.02.16;;C
556;29.10.03;F-WWJN;HB-JMD;Swiss Int'l AL;08.12.03;340-313X;
;;;;Edelweiss Air tfd;31.08.18;;C
557;16.12.03;F-WWCG;ZS-SNG;South African AW;28.01.04;340-642;
;;;D-AUSZ;USC Universal Sky Carrier;s08.12.22;;STD
558;10.10.03;F-WWYO;VH-QPB;Qantas;12.12.03;330-301;C
559;10.10.03;F-WWJP;HB-JME;Swiss Int'l AL;19.11.03;340-313X;
;;;;Edelweiss Air tfd;03.03.18;;C
560;16.03.04;F-WWTM;9V-SGD;Singapore AL;08.04.04;340-541;
;;;F-WJKM;Airbus Industrie;19.03.14;;
;;;VP-BMS;Las Vegas Sands Corp;05.07.14;;C
561;25.10.03;F-WWJQ;HB-JMF;Swiss Int'l AL;28.11.03;340-313X;
;;;;Edelweiss Air tfd;14.03.17;;C
562;12.11.03;F-WWJR;HB-JMG;Swiss Int'l AL lsd;22.12.03;340-313X;
;;;;Edelweiss Air tfd;12.09.16;;C
563;06.03.04;F-WWTU;9V-SGE;Singapore AL;04.05.04;340-541;
;;F-WJKN;T7-SAU;;29.01.14;;STD
564;18.11.03;F-WWYQ;VH-QPC;Qantas;22.01.04;330-301;C
565;07.11.03;F-WWYR;B-HLW;Cathay Pacific AW;12.12.03;330-343E;C
566;20.01.04;F-WWCJ;D-AIHH;Lufthansa;12.03.04;340-642;STD
567;10.01.04;;F-GZCM;Air France;30.01.04;330-203;C
568;08.12.03;F-WWYS;SE-REF;SAS lsd;28.01.04;330-343E;
;;;LN-RKN;SAS rr;13.11.12;;C
569;06.02.04;F-WWCB;D-AIHI;Lufthansa;27.04.04;340-642;C
570;09.02.04;F-WWYV;D-AIKA;Lufthansa;03.03.04;330-343E;
;;;OO-SFK;Brussels AL tfd;r08.03.19;;
;;;D-AIKA;Eurowings Discover tfd;29.09.21;;C
571;02.03.04;F-WWKF;A7-ACE;Qatar AW;05.04.04;330-203;
;;;EI-GFX;Air Italy tfd;17.05.18;;
;;;A7-ACP;Qatar AW ret;02.09.20;;
;;;EI-GFX;Castlelake;r29.10.20;;STD
572;02.02.04;F-WWTV;A6-ERE;Emirates AL;21.05.04;340-541;SCR
573;09.01.04;F-WWYP;B-16305;EVA AW lsd;26.02.04;330-203;
;;;D-AXGD;Eurowings-SunExpress Germany;13.03.16;;C
574;09.01.04;F-WWYU;VH-QPD;Qantas;27.10.04;330-303;C
575;18.02.04;F-WWCK;G-VEIL;Virgin Atlantic AW;08.04.04;340-642;
;;N575UA;;;;;SCR
576;19.01.04;F-WWKN;D-AIKB;Lufthansa;19.03.04;330-343E;
;;;;Eurowings Discover tfd;04.09.21;;C
577;02.06.04;F-WWCM;B-6053;China Eastern AL;28.06.04;340-642;
;;D-AAAR;;Lufthansa Technik;11.07.15;;STD
578;10.02.04;F-WWKD;N806NW;Northwest AL;19.03.04;330-323X;
;;;;Delta AL;29.10.08;;C
579;30.01.04;F-WWKG;D-AIKC;Lufthansa;31.03.04;330-343E;
;;;OO-SFL;Brussels AL;17.05.19;;
;;;D-AIKC;Eurowings Discover tfd;r27.01.22;;C
580;16.04.04;F-WWCN;D-AIHK;Lufthansa;05.05.04;340-642;STD
581;02.03.04;F-WWKK;B-HYQ;Dragonair lsd;19.03.04;330-343E;
;;;;Cathay Dragon nn;22.11.16;;STD
582;20.02.04;F-WWJT;ZS-SXB;South African AW;07.04.04;340-313E;
;;;9H-ACY;Airbus Financial Svc;r27.12.20;;STD
583;04.05.04;F-WWCQ;D-AIHL;Lufthansa;28.05.04;340-642;STD
584;13.03.04;;F-GZCN;Air France lsd;30.03.04;330-203;C
585;27.02.04;F-WWJV;HB-JMH;Swiss Int'l AL;28.04.04;340-313X;C
586;29.06.04;F-WWCR;B-6055;China Eastern AL;28.07.04;340-642;
;;D-AAAS;;Lufthansa Technik;;;STD
587;18.03.04;F-WWKL;B-16306;EVA AW lsd;22.04.04;330-203;
;;N587CC;LV-GKO;Aerolineas Argentinas;13.09.16;;C
588;01.03.04;F-WWKM;N807NW;Northwest AL;04.06.04;330-323X;
;;;;Delta AL;29.10.08;;C
589;;F-WWCT;ZS-SNJ;NOT BUILT;;340-642;
590;11.03.04;F-WWJY;ZS-SXC;South African AW;27.04.04;340-313E;
;;;9H-ACZ;Airbus Financial Svc;r27.12.20;;STD
591;25.03.04;F-WWKO;N808NW;Northwest AL;30.04.04;330-323X;
;;;;Delta AL;29.10.08;;C
592;;F-WWCU;;NOT BUILT;;340-642;
593;23.04.04;F-WWKP;VH-QPE;Qantas;28.06.04;330-303;C
594;18.04.05;F-WWCY;ZS-SNK;NOT BUILT;;340-642;
595;29.03.04;F-WWKR;VH-QPF;Qantas;18.06.04;330-303;C
596;;F-WWCC;;NOT BUILT;;340-642;
597;27.05.04;F-WWKQ;I-LIVN;Livingston AL lsd;13.07.04;330-243;
;;EI-EOK;EC-LMN;Air Europa lsd;24.05.11;;
;;;F-HXXL;XL AW France lsd;06.17;;
;;;TC-NYB;Air Anka;due22;;STD
598;22.04.04;F-WWJX;HB-JMI;Swiss Int'l AL;28.05.04;340-313X;C
599;;F-WWCO;;NOT BUILT;;340-642;
600;26.05.04;F-WWYK;SU-GCE;Egyptair;21.06.04;330-243*F;C
601;07.09.04;F-WWCS;EC-IZX;Iberia;06.10.04;340-642;STD
602;19.05.04;F-WWYM;B-18301;China AL;29.06.04;330-302;C
603;03.05.04;F-WWYN;VH-QPG;Qantas;22.07.04;330-303;C
604;17.09.04;F-WWCH;EC-IZY;Iberia;09.11.04;340-642;
;;;G-ECLE;European Skybus;19.08.22;;C
605;09.06.04;F-WWYX;A7-HHM;Qatar AW;03.08.04;330-203*202CJ;
;;;;Qatar Amiri Flight;03.10.12;;C
606;19.10.04;F-WWCV;EC-JBA;Iberia;24.11.04;340-642;STD
607;10.06.04;F-WWYY;B-18302;China AL;08.07.04;330-302;C
608;04.11.04;F-WWTX;A6-ERG;Emirates AL;30.11.04;340-541;
;;F-WJKI, F-WTAZ;;;;;STD
609;08.06.04;F-WWYZ;N851NW;Northwest AL;21.07.04;330-223;
;;;;Delta AL;29.10.08;;C
610;09.06.04;F-WWKS;SU-GCF;Egyptair;27.07.04;330-243*F;C
611;23.11.04;F-WWTY;A6-ERH;Emirates AL;17.12.04;340-541;
;;F-WHUF;2-RLAW;Global AW;r09.04.18;;
;;;ZS-GAU;Global AW rr;21.06.19;;C
612;29.07.04;F-WWKZ;A7-AFL;Qatar AW lsd;03.09.04;330-202;
;;;D-AXGE;Eurowings-SunExpress Germany;14.09.16;;C
613;;;;NOT BUILT;;330-203;
614;23.07.04;F-WWKU;N852NW;Northwest AL;23.08.04;330-223;
;;;;Delta AL;29.10.08;;C
615;25.11.04;F-WWCZ;G-VSSH;Virgin Atlantic AW;31.01.05;340-642;
;;;YI-;Alnaser AL;25.03.15;;
;;;EP-MMR;Mahan Air;08.05.15;;C
616;25.06.04;F-WWKT;A7-AFM;Qatar AW lsd;07.09.04;330-202;
;;;D-AXGF;Eurowings-SunExpress Germany;03.11.16;;C
617;04.01.05;F-WWCL;EC-JCY;Iberia lsd;27.01.05;340-642;SCR
618;08.07.04;F-WWKN;N853NW;Northwest AL;15.09.04;330-223;
;;;;Delta AL;29.10.08;;C
619;28.01.05;F-WWCP;EC-JCZ;Iberia lsd;25.02.05;340-642;STD
620;26.08.04;F-WWYA;N854NW;Northwest AL;23.09.04;330-223;
;;;;Delta AL;29.10.08;;C
621;23.07.04;F-WWYB;N855NW;Northwest AL;07.10.04;330-223;
;;;;Delta AL;29.10.08;;C
622;21.12.04;F-WWCE;G-VNAP;Virgin Atlantic AW;24.02.05;340-642;
;;;9H-EAL;Maleth-Aero;16.04.20;;C
623;10.09.04;F-WWYC;A7-AEA;Qatar AW;25.10.04;330-302;
;;;VP-CNV;Castlelake;;;STD
624;07.02.05;F-WWTN;HS-TLA;Thai AW Int;06.04.05;340-541;STD
625;02.09.04;F-WWYD;7O-ADP;Yemenia AW lsd;25.10.04;330-243;
;;EI-FLB;TC-OCI;Onur Air/Saudi Arabian AL;10.08.15;;
;;2-COTI;;AerCap ret;21.07.21;;STD
626;11.03.05;F-WWCF;ZS-SNH;South African AW lsd;14.04.05;340-642;STD
627;10.09.04;F-WWYE;I-LIVL;Livingston AL lsd;15.10.04;330-243;
;;;;Kuwait AW slsd;11.06.09;;
;;;;Livingston AL ret;11.12.09;;
;;;EI-EOK;Livingston AL rr;30.09.10;;
;;;7O-ADX;Yemenia AW lsd;24.11.10;;
;;;EI-EOK;WIL ret;29.07.11;;
;;;4R-ALH;SriLankan AL lsd;08.12.11;;C
628;14.04.05;F-WWTO;HS-TLB;Thai AW Int;29.04.05;340-541;STD
629;27.08.04;F-WWYF;D-AIKD;Lufthansa;12.10.04;330-343E;
;;;;Eurowings Discover tfd;18.02.22;;C
630;18.04.05;F-WWCG;ZS-SNI;South African AW lsd;16.05.05;340-642;STD
631;05.10.04;F-WWYG;N856NW;Northwest AL;25.10.04;330-223;
;;;;Delta AL;29.10.08;;C
632;28.09.04;F-WWYH;7O-ADT;Yemenia AW lsd;22.11.04;330-243;
;;EI-FLC;TC-OCJ;Onur Air/Saudi Arabian AL;10.08.15;;
;;2-COTJ;;AerCap ret;21.07.21;;STD
633;06.10.04;F-WWYI;N857NW;Northwest AL;16.11.04;330-223;
;;;;Delta AL;29.10.08;;C
634;11.10.04;F-WWYJ;B-16307;EVA Air lsd;24.11.04;330-203;
;;N753AC;LV-GKP;Aerolineas Argentinas;09.02.17;;C
635;29.10.04;F-WWYO;F-GSEU;Star AL lsd;09.12.04;330-243;
;;;;XL AW nn;23.11.06;;
;;;;White AW lsd;25.06.07;;
;;;;XL AW ret;00.10.07;;
;;;;Garuda Indonesian AW slsd;16.09.12;;
;;;;XL AW ret;27.11.12;;
;;F-WTAG;VP-BUC;Nordwind AL;03.03.21;;
;;;RA-73270;Nordwind AL rr;13.03.22;;C
636;18.10.04;F-WWYL;D-AIKE;Lufthansa;03.12.04;330-343E;
;;;;Eurowings Discover tfd;07.09.22;;C
637;17.11.04;F-WWYP;A7-AEB;Qatar AW;16.12.04;330-302;STD
638;26.11.04;F-WWYQ;A7-ACF;Qatar AW;21.12.04;330-202;
;;;EI-GGR;Air Italy tfd;31.10.18;;
;;;A7-ACQ;Qatar AW ret;12.10.20;;
;;;EI-GGR;Castlelake;r17.11.20;;STD
639;16.03.05;F-WWCI;G-VGAS;Virgin Atlantic AW;09.05.05;340-642;SCR
640;10.11.04;F-WWYR;HL7736;Asiana AL;20.12.04;330-323X;C
641;25.11.04;F-WWYS;B-18303;China AL;10.12.04;330-302;C
642;08.11.04;F-WWKV;D-AIKF;Lufthansa;17.12.04;330-343E;C
643;25.11.04;F-WWJZ;ZS-SXD;South African AW lsd;28.02.05;340-313E;
;;;VT-JWA;Jet AW slsd;23.05.05;;
;;;ZS-SXD;South African AW ret;30.05.07;;C
644;06.12.04;F-WWKD;7T-VJV;Air Algerie;26.01.05;330-202;C
645;16.12.04;F-WWKE;D-AIKG;Lufthansa;28.01.05;330-343E;
;;;OO-SFP;Brussels AL;09.08.19;;
;;;D-AIKG;Lufthansa ret;07.12.21;;C
646;08.12.04;F-WWJB;ZS-SXE;South African AW;04.03.05;340-313E;
;;;VT-JWB;Jet AW lsd;31.05.05;;
;;;ZS-SXE;South African AW ret;26.06.07;;
;;;D-AUSC;USC Universal Sky Carrier;s08.12.22;;STD
647;13.01.05;F-WWKF;7T-VJW;Air Algerie;14.02.05;330-202;C
648;17.01.05;F-WWKG;D-AIKH;Lufthansa;11.02.05;330-343E;
;;;;Eurowings Discover tfd;22.09.21;;C
649;01.02.05;F-WWKI;B-6056;China Southern AL;25.02.05;330-243;C
650;12.01.05;F-WWKK;7T-VJX;Air Algerie;25.02.05;330-202;C
651;09.02.05;F-WWJC;ZS-SXF;South African AW;18.03.05;340-313E;
;;;VT-JWC;Jet AW slsd;06.06.05;;
;;;ZS-SXF;South African AW ret;10.07.07;;C
652;23.02.05;F-WWKL;B-6057;China Southern AL;16.03.05;330-243;C
653;27.01.05;F-WWYK;7T-VJY;Air Algerie;15.03.05;330-202;C
654;25.02.05;F-WWYM;B-HWF;Dragonair lsd;18.03.05;330-343E;
;;;9M-XXR;AirAsia X lsd;17.03.14;;
;;;PK-XRC;Indonesia AirAsia slsd;29.12.14;;
;;;9M-XXR;AirAsia X ret;s28.06.21;;C
655;24.02.05;F-WWYT;B-16308;EVA Air lsd;23.03.05;330-203;
;;;VQ-BMI;VIM AL lsd;18.05.17;;STD
656;11.03.05;F-WWYV;B-6058;China Southern AL;22.04.05;330-243;C
657;15.02.05;;F-GZCO;Air France;04.04.05;330-203;C
658;29.04.05;F-WWYN;A6-EYD;Etihad AW lsd;27.05.05;330-243;STD
659;30.03.05;F-WWYX;A7-AEC;Qatar AW;25.04.05;330-302;
;;VP-CNW;;;;;STD
660;25.02.05;;F-GZCP;Air France;18.04.05;330-203;W/O
661;22.03.05;F-WWYY;B-16309;EVA Air lsd;04.05.05;330-203;
;;;VP-BIO;VIM AL lsd;20.09.17;;
;;;SU-TCH;Almasria Universal AL lsd;16.02.18;;
;;;EI-GTE;Aptree Aviation;r05.08.20;;SCR
662;12.04.05;F-WWYZ;B-HWG;Dragonair lsd;04.05.05;330-343E;
;;;9M-XXL;AirAsia X lsd;03.05.13;;
;;;HS-XTA;Thai AirAsia X;15.01.14;;C
663;31.03.05;F-WWKM;N809NW;Northwest AL;13.05.05;330-323X;
;;;;Delta AL;29.10.08;;C
664;19.05.05;F-WWKP;B-6059;China Southern AL;09.06.05;330-243;C
665;04.05.05;F-WWKO;I-EEZJ;Eurofly lsd;27.05.05;330-223;
;;;;Meridiana Fly;28.02.10;;
;;;D-ABXC;Air Berlin lsd;01.11.12;;
;;EI-GFH;9M-MTU;Malaysian AL lsd;30.03.18;;C
666;25.03.05;F-WWKQ;SU-GCG;Egyptair;17.06.05;330-243;C
667;11.04.05;F-WWKR;7T-VJZ;Air Algerie;01.06.05;330-202;C
668;13.05.05;F-WWJD;F-OLOV;Air Tahiti Nui;13.06.05;340-313E;
;;F-WTBJ;9H-ZMK;AirHub AL;16.06.21;;C
669;23.05.05;F-WWKS;B-LAA;Cathay Pacific AL lsd;28.06.05;330-343E;
;;;;Dragonair lsd;20.09.13;;
;;;;Cathay Dragon nn;22.11.16;;
;;;;Cathay Pacific AL tfd;20.10.20;;C
670;03.06.05;F-WWKU;EC-JHP;Iberworld lsd;28.06.05;330-343E;
;;;;XL AW slsd;29.03.08;;
;;;;Iberworld ret;22.04.08;;
;;;;Garuda Indonesian AW slsd;20.10.09;;
;;;;Iberworld ret;02.01.10;;
;;;;XL AW France slsd;31.01.10;;
;;;;Iberworld ret;02.05.10;;
;;;;Orbest Orizonia AL;01.05.11;;
;;OE-ICB;EC-LXA;Air Europa lsd;29.06.13;;
;;;;Garuda Indonesian AW slsd;07.09.13;;
;;;;Air Europa ret;19.11.13;;
;;;;Evelop! AL;13.02.17;;
;;;;Iberojet  ;13.05.21;;C
671;22.04.05;F-WWKN;B-18305;China AL;16.06.05;330-302;C
672;18.05.05;F-WWCB;EC-JFX;Iberia;10.06.05;340-642;STD
673;27.05.05;F-WWKZ;B-LAB;Cathay Pacific AL lsd;17.06.05;330-343E;
;;;;Dragonair slsd;27.07.13;;
;;;;Cathay Dragon nn;22.11.16;;STD
674;13.05.05;F-WWKT;N810NW;Northwest AL;21.06.05;330-323X;
;;;;Delta AL;29.10.08;;C
675;17.05.05;F-WWYU;B-18306;China AL;08.07.05;330-302;C
676;16.06.05;F-WWYA;HL7740;Asiana AL;13.07.05;330-323X;C
677;06.06.05;F-WWCJ;HS-TNA;Thai AW Int;29.06.05;340-642;STD
678;23.06.05;F-WWYB;B-16310;EVA Air;22.07.05;330-203;C
679;16.06.05;F-WWYC;B-LAC;Cathay Pacific AL lsd;27.07.05;330-343E;
